sucursal_id,revenue_base,revenue_opt,margin_base,margin_opt,avg_delta_price,median_delta_price,avg_elasticity,n_rows,n_products,delta_revenue_pct,delta_margin_pct
SUC001,12033689.49,13186965.55,3552839.16,4773943.95,10.98,9.98,-0.27,262153,1293,9.58,34.37
SUC002,11533931.46,12624802.34,3423114.39,4573048.62,10.72,9.98,-0.29,252507,1283,9.46,33.59
SUC003,12408153.7,13501367.47,3725222.51,4881068.89,10.62,9.98,-0.29,230949,1230,8.81,31.03
SUC004,5405628.14,5875222.85,1631386.45,2117399.65,9.74,9.98,-0.28,139193,1122,8.69,29.79
