scenario,adjustments,revenue_base,revenue_whatif,margin_base,margin_whatif,delta_revenue,delta_revenue_pct,delta_margin,delta_margin_pct
carnes_+10%,{'03CARN': 1.1},15362415.42,16059516.79,5725473.95,6559976.34,697101.37,4.54,834502.39,14.58
carnes_-10%,{'03CARN': 0.9},15362415.42,15005815.07,5725473.95,5314978.71,-356600.35,-2.32,-410495.24,-7.17
fruver_+10%,{'08FRUV': 1.1},15362415.42,15873073.93,5725473.95,6310346.68,510658.51,3.32,584872.73,10.22
fruver_-5%,{'08FRUV': 0.95},15362415.42,15383731.71,5725473.95,5776995.84,21316.29,0.14,51521.89,0.9
charcu_+10%,{'05CHAR': 1.1},15362415.42,15828384.1,5725473.95,6309107.44,465968.68,3.03,583633.49,10.19
all_+5%,"{'03CARN': 1.05, '08FRUV': 1.05, '05CHAR': 1.05}",15362415.42,16099991.15,5725473.95,6612029.69,737575.73,4.8,886555.74,15.48
all_-5%,"{'03CARN': 0.95, '08FRUV': 0.95, '05CHAR': 0.95}",15362415.42,14977831.92,5725473.95,5278046.36,-384583.5,-2.5,-447427.59,-7.81
carnes_+10%_fruver_-5%,"{'03CARN': 1.1, '08FRUV': 0.95}",15362415.42,15897247.35,5725473.95,6383293.67,534831.93,3.48,657819.72,11.49
