sucursal_id,revenue_base,revenue_opt,margin_base,margin_opt,avg_delta_price,median_delta_price,avg_elasticity,n_rows,n_products,delta_revenue_pct,delta_margin_pct
SUC001,3887634.04,4245932.64,1424878.46,1816614.49,11.84,10.0,-0.21,73684,698,9.22,27.49
SUC002,4209129.16,4597173.26,1563349.27,1983805.35,11.49,10.0,-0.24,73232,720,9.22,26.89
SUC003,4008566.1,4351210.45,1496551.05,1872240.3,11.6,10.0,-0.24,63572,689,8.55,25.1
SUC004,3257086.12,3510890.45,1240695.17,1514988.14,9.28,10.0,-0.23,67862,703,7.79,22.11
