clase,revenue_base,revenue_opt,n,delta_revenue,delta_revenue_pct
03CARN     ,7065639.7,7287862.21,46478,222222.51,3.15
05CHAR     ,4131733.44,4302123.95,96977,170390.51,4.12
08FRUV     ,4165042.28,4516177.97,134895,351135.69,8.43
