producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0805010024,08FRUV     ,1202.92,406.81,217,33.82
0805010053,08FRUV     ,1217.75,398.17,200,32.7
0805020033,08FRUV     ,765.94,397.91,184,51.95
0302010041,03CARN     ,994.9,395.38,167,39.74
0805010167,08FRUV     ,836.41,395.28,287,47.26
0805010277,08FRUV     ,1274.8,391.0,426,30.67
0805010128,08FRUV     ,1114.87,388.51,456,34.85
0302010037,03CARN     ,769.24,381.53,118,49.6
0805010284,08FRUV     ,1265.94,377.44,256,29.81
0805010278,08FRUV     ,1078.26,363.01,299,33.67
0505030041,05CHAR     ,866.88,360.04,117,41.53
0301060002,03CARN     ,708.2,359.73,30,50.79
0505030042,05CHAR     ,781.36,356.02,118,45.56
0302010055,03CARN     ,1073.05,347.58,103,32.39
0502080071,05CHAR     ,1000.82,344.06,114,34.38
0302010049,03CARN     ,976.21,340.05,63,34.83
0802040046,08FRUV     ,776.09,330.84,56,42.63
0505010029,05CHAR     ,808.99,329.56,152,40.74
0301060019,03CARN     ,711.85,326.56,31,45.87
0803010062,08FRUV     ,598.34,317.54,75,53.07
0308050021,03CARN     ,527.64,317.3,92,60.14
0805010129,08FRUV     ,674.74,316.96,203,46.98
0502080073,05CHAR     ,885.24,310.89,111,35.12
0310010003,03CARN     ,862.81,309.89,72,35.92
0309040008,03CARN     ,469.53,304.24,30,64.8
0806010002,08FRUV     ,49005.5,304.02,735,0.62
0309040001,03CARN     ,557.44,297.6,104,53.39
0802020003,08FRUV     ,715.9,291.75,400,40.75
0505030044,05CHAR     ,651.79,291.71,195,44.76
0802040047,08FRUV     ,706.88,283.36,51,40.09
0503050027,05CHAR     ,630.43,283.22,50,44.92
0805010127,08FRUV     ,875.49,282.92,200,32.32
0505010015,05CHAR     ,777.31,282.67,144,36.37
0509120012,05CHAR     ,580.42,277.62,80,47.83
0504030047,05CHAR     ,647.57,269.55,52,41.62
0805020023,08FRUV     ,371.15,269.0,163,72.48
0302010053,03CARN     ,826.75,268.15,68,32.43
0502080095,03CARN     ,591.43,267.51,135,45.23
0509110004,05CHAR     ,1022.31,264.2,116,25.84
0802010008,08FRUV     ,730.36,263.33,228,36.05
0509100009,05CHAR     ,601.76,261.24,80,43.41
0805010268,08FRUV     ,850.22,260.71,311,30.66
0803010025,08FRUV     ,641.3,259.85,311,40.52
0509130035,05CHAR     ,639.22,251.36,79,39.32
0805010267,08FRUV     ,823.93,249.83,308,30.32
0506030026,05CHAR     ,539.34,238.79,146,44.27
0805010019,08FRUV     ,960.81,234.52,261,24.41
0805010122,08FRUV     ,643.74,231.52,204,35.96
0504020029,05CHAR     ,740.28,230.65,67,31.16
0503030066,05CHAR     ,561.84,229.6,18,40.87
0504040038,05CHAR     ,702.1,227.15,53,32.35
0805010269,08FRUV     ,702.1,222.63,272,31.71
0805010166,08FRUV     ,497.24,221.04,204,44.45
0805010168,08FRUV     ,487.27,219.91,211,45.13
0507010006,05CHAR     ,697.34,218.12,85,31.28
0302010026,03CARN     ,576.16,215.3,103,37.37
0805010248,08FRUV     ,636.31,212.91,129,33.46
0802010023,08FRUV     ,480.94,210.01,99,43.67
0802020011,08FRUV     ,377.43,196.61,85,52.09
0302010054,03CARN     ,596.21,194.65,58,32.65
0805010197,08FRUV     ,511.33,193.05,208,37.75
0302010048,03CARN     ,574.94,190.09,68,33.06
0302010024,03CARN     ,500.91,183.53,67,36.64
0805010182,08FRUV     ,479.5,177.88,78,37.1
0802010013,08FRUV     ,702.4,177.34,166,25.25
0507010005,05CHAR     ,519.9,177.14,63,34.07
0805010245,08FRUV     ,418.88,174.7,94,41.71
0507010011,05CHAR     ,549.91,165.07,68,30.02
0503020013,05CHAR     ,431.56,164.8,15,38.19
0308050002,03CARN     ,269.85,161.58,46,59.88
0505030047,05CHAR     ,438.19,160.08,59,36.53
0504050009,05CHAR     ,443.32,155.29,47,35.03
0805020004,08FRUV     ,189.09,154.94,6,81.94
0509180028,05CHAR     ,266.82,154.9,38,58.05
0302010023,03CARN     ,432.51,153.97,59,35.6
0805010124,08FRUV     ,415.72,151.02,132,36.33
0803010055,08FRUV     ,352.68,147.55,187,41.84
0805010164,08FRUV     ,433.38,146.39,95,33.78
0502080074,05CHAR     ,401.66,142.98,44,35.6
0502080107,05CHAR     ,444.66,142.93,46,32.14
0805010189,08FRUV     ,393.03,142.67,158,36.3
0805010199,08FRUV     ,317.11,141.66,163,44.67
0509040009,05CHAR     ,340.7,139.0,46,40.8
0504030033,05CHAR     ,298.58,137.53,46,46.06
0306010012,03CARN     ,339.03,133.35,63,39.33
0502080076,05CHAR     ,332.94,126.47,42,37.99
0802010033,08FRUV     ,388.25,123.94,166,31.92
