clase,margin_base,margin_opt,margin_pct_base,margin_pct_opt,delta_margin,delta_margin_pct
03CARN     ,3133576.93,3382358.71,41.31,43.73,248781.78,7.94
05CHAR     ,1338845.37,1518419.77,32.54,36.34,179574.4,13.41
08FRUV     ,1253051.65,1609948.69,34.79,40.99,356897.04,28.48
