producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0503020051,05CHAR     ,29153.69,12680.46,336,43.5
0802020005,08FRUV     ,32399.6,12420.89,736,38.34
0301050001,03CARN     ,33572.21,12289.45,646,36.61
0502040028,05CHAR     ,31944.34,12025.59,656,37.65
0509130036,05CHAR     ,37801.42,11634.13,509,30.78
0802010010,08FRUV     ,33127.26,11248.26,736,33.95
0503020046,05CHAR     ,22842.06,11232.58,608,49.17
0805020011,08FRUV     ,22192.01,11036.68,733,49.73
0509160028,05CHAR     ,27721.1,11030.74,548,39.79
0309020013,03CARN     ,19476.1,10900.64,471,55.97
0802020007,08FRUV     ,28416.39,10652.36,736,37.49
0509070003,05CHAR     ,25289.69,10544.77,640,41.7
0802010020,08FRUV     ,51928.31,10020.5,736,19.3
0302010044,03CARN     ,25620.42,9493.45,668,37.05
0803010022,08FRUV     ,13307.26,9230.77,641,69.37
0803010007,08FRUV     ,17824.88,9029.97,532,50.66
0802050002,08FRUV     ,23535.97,9001.35,676,38.25
0308040005,03CARN     ,28288.45,8798.84,343,31.1
0308040007,03CARN     ,32755.03,8707.03,458,26.58
0502040033,05CHAR     ,21989.58,8406.55,703,38.23
0805020001,08FRUV     ,14722.02,8387.33,736,56.97
0509160008,05CHAR     ,16513.74,8348.03,642,50.55
0504030027,05CHAR     ,21989.51,8324.17,709,37.86
0509160007,05CHAR     ,16552.75,8277.62,653,50.01
0301070005,03CARN     ,14301.42,8213.14,249,57.43
0301040005,03CARN     ,23943.23,8095.14,728,33.81
0801010003,08FRUV     ,10794.65,8088.19,684,74.93
0509150029,05CHAR     ,29594.75,7880.2,618,26.63
0802040010,08FRUV     ,12375.49,7709.63,682,62.3
0803010028,08FRUV     ,27568.52,7697.54,736,27.92
0802010006,08FRUV     ,23660.87,7597.5,733,32.11
0509160003,05CHAR     ,14935.56,7587.51,656,50.8
0308050017,03CARN     ,13856.76,7576.51,595,54.68
0309030001,03CARN     ,16412.32,7543.6,578,45.96
0806010009,08FRUV     ,21670.04,7462.69,736,34.44
0801010015,08FRUV     ,13952.32,7168.53,526,51.38
0504050003,05CHAR     ,19245.77,7163.48,733,37.22
0502040051,05CHAR     ,19671.76,7157.52,601,36.38
0502080046,05CHAR     ,18493.11,7146.48,736,38.64
0502040026,05CHAR     ,20762.13,7131.39,706,34.35
0805020018,08FRUV     ,19315.8,7078.22,691,36.64
0507020016,05CHAR     ,16012.94,7042.38,525,43.98
0801010007,08FRUV     ,8015.42,7009.85,478,87.45
0302010045,03CARN     ,19203.5,6981.86,671,36.36
0309020018,03CARN     ,10610.05,6956.75,218,65.57
0509140014,05CHAR     ,14627.32,6943.59,590,47.47
0301030002,03CARN     ,21474.96,6933.63,672,32.29
0806010005,08FRUV     ,29694.0,6885.45,731,23.19
0509060007,05CHAR     ,15831.8,6806.42,686,42.99
0309030004,03CARN     ,9011.61,6767.26,355,75.09
0509100019,05CHAR     ,14736.33,6569.39,663,44.58
0509180019,05CHAR     ,14212.74,6545.73,687,46.06
0802040004,08FRUV     ,13198.31,6534.73,578,49.51
0504040015,05CHAR     ,17942.89,6513.59,703,36.3
