clase,margin_base,margin_opt,margin_pct_base,margin_pct_opt,delta_margin,delta_margin_pct
03CARN     ,3133576.93,3694236.87,41.31,46.27,560659.94,17.89
05CHAR     ,1338845.37,1692885.84,32.54,38.82,354040.47,26.44
08FRUV     ,1253051.65,1800525.57,34.79,43.61,547473.92,43.69
