clase,delta_mean,delta_median,delta_std,pct_increase,pct_decrease,pct_unchanged
03CARN     ,9.03,9.98,7.5,95.17,2.82,2.01
05CHAR     ,9.47,9.94,14.92,92.86,4.41,2.73
08FRUV     ,12.92,10.01,31.51,98.66,0.42,0.92
