nombre,precio_bs,precio_usd,precio_raw,categoria_emporium,search_term,url,bcv_rate,scraped_at
PAPAYA INDIANA X KG,470.73,1.17,Bs.470.73,08FRUV,papaya,https://www.plansuarez.com/index.php?route=product/product&product_id=6567&search=papaya,402.3343,2026-02-21T14:21:48.289087
LECHUGA ROMANA PARADIS FRESH 500GR,1293.22,3.2143,"Bs.1,293.22",08FRUV,lechuga,https://www.plansuarez.com/index.php?route=product/product&product_id=33487&search=lechuga,402.3343,2026-02-21T14:21:55.186725
BROCOLI EN BANDEJA PLANSUAREZ X KG,1870.85,4.65,"Bs.1,870.85",08FRUV,brocoli,https://www.plansuarez.com/index.php?route=product/product&product_id=30978&search=brocoli,402.3343,2026-02-21T14:22:01.873720
CREMA P/GATOS PUNKY PARTNERS 4UND BROCOLI/SALMON,1617.92,4.0213,"Bs.1,617.92",08FRUV,brocoli,https://www.plansuarez.com/index.php?route=product/product&product_id=36019&search=brocoli,402.3343,2026-02-21T14:22:01.892969
AGUA GASIF MIBRISA 500ML MANZANA,367.16,0.9126,Bs.367.16,08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=32932&search=manzana,402.3343,2026-02-21T14:22:34.895185
AGUA GASIF NEVADA 15LT MANZANA,527.7,1.3116,Bs.527.70,08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=34059&search=manzana,402.3343,2026-02-21T14:22:34.946107
AMBIENTADOR GLADE 100ML+6VARITAS MANZANA CANELA,5366.21,13.3377,"Bs.5,366.21",08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=28854&search=manzana,402.3343,2026-02-21T14:22:34.974618
ARENA P/GATOS NEO CLEAN 415GR MANZANA,3249.22,8.0759,"Bs.3,249.22",08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=35252&search=manzana,402.3343,2026-02-21T14:22:35.002598
BANDEJA MANZANA GALA !300! GR,843.7,2.097,Bs.843.70,08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=3546&search=manzana,402.3343,2026-02-21T14:22:35.032847
BANDEJA MANZANA ROJA !300! G,843.7,2.097,Bs.843.70,08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=3545&search=manzana,402.3343,2026-02-21T14:22:35.064636
BEBIDA GATORADE 500ML MANZANA PET,863.47,2.1462,Bs.863.47,08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=33308&search=manzana,402.3343,2026-02-21T14:22:35.097980
BEDIDA ROBBY BUBLE 075LT MANZANA,2771.08,6.8875,"Bs.2,771.08",08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=22797&search=manzana,402.3343,2026-02-21T14:22:35.129467
CARTULINA KORES 50X70 VERDE MANZANA,316.75,0.7873,Bs.316.75,08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=33945&search=manzana,402.3343,2026-02-21T14:22:35.173072
CHAMPU ALIVE 413ML FLOR DE MANZANA,2364.65,5.8773,"Bs.2,364.65",08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=19815&search=manzana,402.3343,2026-02-21T14:22:35.205654
COLADO COTOPERI 110GR MANZANA,396.23,0.9848,Bs.396.23,08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=35106&search=manzana,402.3343,2026-02-21T14:22:35.238349
COLADO GERBER 100GR MANZANA POUCH,827.61,2.057,Bs.827.61,08FRUV,manzana,https://www.plansuarez.com/index.php?route=product/product&product_id=19330&search=manzana,402.3343,2026-02-21T14:22:35.267877
AGUA GASIF MINALBA 500ML SPARK NARANJA,580.96,1.444,Bs.580.96,08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=24056&search=naranja,402.3343,2026-02-21T14:22:53.019091
AGUA GASIF PETRICHOR 355ML NARANJA SEVILLANA,597.39,1.4848,Bs.597.39,08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=30183&search=naranja,402.3343,2026-02-21T14:22:53.050837
BEBIDA ENERGETICA POWER X 1LT NARANJA,374.36,0.9305,Bs.374.36,08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=36132&search=naranja,402.3343,2026-02-21T14:22:53.083046
BEBIDA TANG 20GR NARANJA,318.83,0.7925,Bs.318.83,08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=20822&search=naranja,402.3343,2026-02-21T14:22:53.113560
BENZODIAZOL NARANJA X 16 PASTILLAS MAST MEYER,1481.36,3.6819,"Bs.1,481.36",08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=18052&search=naranja,402.3343,2026-02-21T14:22:53.141749
CARTULINA CORRUGADA BERNICE NARANJA,419.66,1.0431,Bs.419.66,08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=35491&search=naranja,402.3343,2026-02-21T14:22:53.171820
CARTULINA KORES 50X70 NARANJA,316.75,0.7873,Bs.316.75,08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=33941&search=naranja,402.3343,2026-02-21T14:22:53.239966
CEBION NARANJA 1G X 10TAB EFERV,5815.07,14.4533,"Bs.5,815.07",08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=29340&search=naranja,402.3343,2026-02-21T14:22:53.273291
CHOCOLATE ST MORITZ 40G GRAGEADO NARANJA BITTER,1086.78,2.7012,"Bs.1,086.78",08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=24704&search=naranja,402.3343,2026-02-21T14:22:53.334975
CREMA SECRETOS DE LA ABUELA 250GR CHOCONARANJA,1630.37,4.0523,"Bs.1,630.37",08FRUV,naranja,https://www.plansuarez.com/index.php?route=product/product&product_id=33966&search=naranja,402.3343,2026-02-21T14:22:53.364657
