nombre,precio_bs,precio_usd,precio_raw,categoria_emporium,search_term,url,bcv_rate,scraped_at
TEQUENOS TEQUE MIX 15 UND QUESO PLATANO,3298.09,8.1974,"Bs.3,298.09",08FRUV,platano,https://www.plansuarez.com/index.php?route=product/product&product_id=10951&search=platano,402.3343,2026-02-21T14:20:37.189149
BANDEJA PAPA !500! GR,254.82,0.6334,Bs.254.82,08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=3513&search=papa,402.3343,2026-02-21T14:20:45.324200
BANDEJA PAPAS LAVADA !500! GR,316.12,0.7857,Bs.316.12,08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=6533&search=papa,402.3343,2026-02-21T14:20:45.343175
ESMALTE VALMY #288 9CM3 PAPAUPA,952.08,2.3664,Bs.952.08,08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=33162&search=papa,402.3343,2026-02-21T14:20:45.366017
JABON DALAN 125GR X3UND MICELAR PAPAYA,1943.23,4.8299,"Bs.1,943.23",08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=7978&search=papa,402.3343,2026-02-21T14:20:45.392827
MIEL DE ABEJA GRACIAS PAPA 1LT,5364.44,13.3333,"Bs.5,364.44",08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=30339&search=papa,402.3343,2026-02-21T14:20:45.413750
NOQUIS DE PAPA DE CECCO 500GR INTEGRAL,2303.36,5.725,"Bs.2,303.36",08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=35808&search=papa,402.3343,2026-02-21T14:20:45.437249
PAPA PUNCH ON MUNCHY 150GR CON SAL,1406.35,3.4955,"Bs.1,406.35",08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=17579&search=papa,402.3343,2026-02-21T14:20:45.457711
PAPAS BULLS SNACKS 100GR CREMA Y CEBOLLA,1425.01,3.5419,"Bs.1,425.01",08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=32683&search=papa,402.3343,2026-02-21T14:20:45.498481
PAPAS BULLS SNACKS 100GR NATURAL,1425.01,3.5419,"Bs.1,425.01",08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=32682&search=papa,402.3343,2026-02-21T14:20:45.541904
PAPAS CRUSTISSIMO 115GR BBQ,1406.33,3.4954,"Bs.1,406.33",08FRUV,papa,https://www.plansuarez.com/index.php?route=product/product&product_id=33638&search=papa,402.3343,2026-02-21T14:20:45.560539
