clase,revenue_base,revenue_opt,margin_base,margin_opt,demand_base,demand_opt,avg_delta_price,avg_elasticity,n_rows,delta_revenue_pct,delta_margin_pct,fulfillment
03CARN     ,7065639.7,8585230.16,3133576.93,4883788.85,1011019.7335,954235.9345,29.1289,-0.3133,46478,21.5068,55.8535,0.9438
05CHAR     ,4131733.44,5071162.19,1338845.37,2423215.19,513194.2643,485576.5554,29.5183,-0.3064,96977,22.7369,80.9929,0.9462
08FRUV     ,4165042.28,5354524.07,1253051.65,2525677.74,1990366.7692,1934651.8806,32.5309,-0.1513,134895,28.5587,101.5621,0.972
