sucursal_id,revenue_base,revenue_opt,margin_base,margin_opt,avg_delta_price,median_delta_price,avg_elasticity,n_rows,n_products,delta_revenue_pct,delta_margin_pct
SUC001,3887634.04,4832819.06,1424878.46,2484621.98,31.57,30.03,-0.21,73684,698,24.31,74.37
SUC002,4209129.16,5222683.64,1563349.27,2700777.2,31.23,30.03,-0.24,73232,720,24.08,72.76
SUC003,4008566.1,4952485.13,1496551.05,2563538.79,31.37,30.03,-0.24,63572,689,23.55,71.3
SUC004,3257086.12,4002928.59,1240695.17,2083743.81,29.43,30.02,-0.23,67862,703,22.9,67.95
