clase,demand_base,demand_opt,fulfillment_index
03CARN     ,3382411.2896,3347274.27,0.9896
05CHAR     ,1552114.9996,1552168.3521,1.0
08FRUV     ,6226604.1748,6187532.0981,0.9937
