producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0309020005,03CARN     ,1829128.46,872720.48,1188,47.71
0304010008,03CARN     ,1428478.01,853577.98,1296,59.75
0309020020,03CARN     ,1042900.75,363635.01,1187,34.87
0304010035,03CARN     ,833189.0,361704.33,1293,43.41
0308010001,03CARN     ,1165240.21,295631.49,1188,25.37
0308050006,03CARN     ,777545.7,240922.93,1188,30.99
0301020003,03CARN     ,505256.85,239601.73,2421,47.42
0308020003,03CARN     ,746005.66,237764.19,1188,31.87
0802020012,08FRUV     ,544986.94,230458.38,1188,42.29
0304010033,03CARN     ,345814.77,203721.08,1295,58.91
0309020017,03CARN     ,365539.76,199683.4,1183,54.63
0301040001,03CARN     ,487148.12,198717.92,1183,40.79
0509060001,05CHAR     ,757014.47,194822.67,1188,25.74
0302020001,03CARN     ,527946.71,192913.06,1083,36.54
0806030003,08FRUV     ,530699.92,186867.58,1296,35.21
0511050016,05CHAR     ,653100.07,184442.91,1286,28.24
0304010030,03CARN     ,302826.07,183875.82,1291,60.72
0308050008,03CARN     ,438055.84,176345.26,1188,40.26
0806010011,08FRUV     ,543312.87,175882.23,1188,32.37
0509130025,05CHAR     ,633399.84,173215.42,2475,27.35
0301020014,03CARN     ,394002.51,166717.31,1284,42.31
0803010043,08FRUV     ,412814.4,146287.58,1295,35.44
0802010002,08FRUV     ,340174.89,145782.84,1184,42.86
0806010004,08FRUV     ,287895.26,140478.59,2512,48.8
0309020011,03CARN     ,282645.31,140257.77,1181,49.62
0303010007,03CARN     ,441882.84,138155.03,1277,31.27
0301020006,03CARN     ,407286.43,131963.8,1298,32.4
0802050003,08FRUV     ,575996.76,129081.58,1188,22.41
0804010003,08FRUV     ,527267.17,119726.11,1296,22.71
0509060004,05CHAR     ,452863.08,115001.87,1184,25.39
0302010002,03CARN     ,361718.48,114563.16,1274,31.67
0806010006,08FRUV     ,283619.24,104091.54,1188,36.7
0801020002,08FRUV     ,262681.68,100874.57,1274,38.4
0309020002,03CARN     ,188216.64,94089.07,878,49.99
0304010005,03CARN     ,156030.08,93107.95,899,59.67
0301020019,03CARN     ,249591.04,90298.84,1292,36.18
