clase,revenue_base,revenue_opt,n,delta_revenue,delta_revenue_pct
03CARN     ,18161276.15,19591240.92,148143,1429964.77,7.87
05CHAR     ,10840148.38,11664719.98,305131,824571.6,7.61
08FRUV     ,12379978.26,13932397.31,431528,1552419.05,12.54
