clase,margin_base,margin_opt,margin_pct_base,margin_pct_opt,delta_margin,delta_margin_pct
03CARN     ,6113530.82,7668169.77,33.53,39.94,1554638.95,25.43
05CHAR     ,2734005.3,3549827.69,28.26,33.63,815822.39,29.84
08FRUV     ,3485026.39,5127463.65,32.87,41.69,1642437.26,47.13
