competidor,categoria,nombre_comp,nombre_comp_norm,nombre_emporium,nombre_emporium_norm,match_score,precio_comp_raw_usd,precio_comp_norm_usd,precio_emporium_usd,price_adjustment,ratio,search_term
gama,05CHAR,QUESO MOZZARELLA BOCCONCINI BUFALINDA 600 GR,queso mozzarella bocconcini bufalinda,QUESO CALICANTO BOCCONCINI 340GR,queso calicanto bocconcini,69.84126984126983,12.3,20.5,5.39,scaled 0.600kg→1kg (emp=0.340kg),3.8033,queso pasteurizado
gama,03CARN,CHULETA AHUMADA ARTESANAL 500 GR,chuleta ahumada artesanal,CHULETA AHUMADA KG,chuleta ahumada kg,69.76744186046511,6.0,12.0,9.99,scaled 0.500kg→1kg,1.2012,chuleta ahumada
gama,08FRUV,STRUDEL DE MANZANA GAMA 1 UN,strudel de manzana gama,OREJON DE MANZANA KG,orejon de manzana kg,69.76744186046511,2.0,2.0,2.19,no_adjustment,0.9132,manzana
gama,05CHAR,QUESO MOZARELLA BLANDO BUFALINDA 300 GR,queso mozarella blando bufalinda,QUESO CREMA BUFALINDA AJO / CIBOUL 250GR,queso crema bufalinda ajo / ciboul,69.6969696969697,8.19,8.19,5.1638,no_adjustment,1.586,queso rallado
gama,05CHAR,QUESO BLANCO PARA RALLAR FLOR DE ARAGUA 310 GR,queso blanco para rallar flor de aragua,QUESO ARTESANAL PARA RALLAR KG,queso artesanal para rallar kg,69.56521739130434,6.47,20.871,7.1901,scaled 0.310kg→1kg,2.9027,queso rallado
gama,05CHAR,PASTEL QUESO PAISA GAMA 1 UN,pastel queso paisa gama,QUESO PAST. PALMIBUFALA KG,queso past. palmibufala kg,69.38775510204081,2.55,2.55,16.2499,no_adjustment,0.1569,queso paisa
gama,05CHAR,JAMÓN COCIDO DE PIERNA EL DRAGO 300 GR,jamon cocido de pierna el drago,PALETA DE CERDO EL DRAGO KG,paleta de cerdo el drago kg,68.96551724137932,2.84,9.4667,6.99,scaled 0.300kg→1kg,1.3543,pierna lechon
gama,05CHAR,QUESO MOZZARELLA FAMILIAR BUFALINDA 600 GR,queso mozzarella familiar bufalinda,QUESO CREMA BUFALINDA NATURAL 250GR,queso crema bufalinda natural,68.75,12.3,20.5,4.9052,scaled 0.600kg→1kg (emp=0.250kg),4.1792,queso merideño
gama,03CARN,"CARNE SOLOMO PARRILLERO 1,3 KG",carne solomo parrillero,MUSLO POLLO PARRILLERO,muslo pollo parrillero,66.66666666666667,16.89,12.9923,5.99,scaled 1.300kg→1kg,2.169,solomo molido
gama,03CARN,COCHINO TOCINO 500 GR,cochino tocino,RIÑONADA COCHINO KG,rinonada cochino kg,66.66666666666667,2.75,5.5,2.99,scaled 0.500kg→1kg,1.8395,chuleta cochino
gama,05CHAR,SALCHICHAS ROJAS FRESCAS GAMA 250 GR,salchichas rojas frescas gama,SALCHICHA FRIGOSAN POLACA  KG,salchicha frigosan polaca kg,66.66666666666667,4.5,18.0,4.99,scaled 0.250kg→1kg,3.6072,salchicha
gama,08FRUV,AJO CRIOLLO PELADO GAMA 170 GR,ajo criollo pelado gama,AJO PELADO HIDROPONIAS 150 GR,ajo pelado hidroponias,66.66666666666667,2.63,2.63,4.09,no_adjustment,0.643,ajo
plansuarez,05CHAR,MORTADELA RICCI EXTRA X KG,mortadela ricci extra x kg,MORTADELA RICCI EXTRA KG,mortadela ricci extra kg,96.0,8.7733,8.7733,8.5899,no_adjustment,1.0213,mortadela
plansuarez,03CARN,HIGADO DE POLLO X KG,higado de pollo x kg,HIGADO DE POLLO KG,higado de pollo kg,94.73684210526316,3.2857,3.2857,9.99,no_adjustment,0.3289,higado
plansuarez,05CHAR,MORTADELA PLUMROSE 1 KG ESPECIAL,mortadela plumrose especial,MORTADELA PLUMPROSE ESPECIAL KG,mortadela plumprose especial kg,93.10344827586206,4.24,4.24,3.59,no_adjustment,1.1811,mortadela
plansuarez,05CHAR,SALCHICHAS FIESTA VIENA CORTA,salchichas fiesta viena corta,SALCHICHA FIESTA VIENA CORTA 12U,salchicha fiesta viena corta 12u,91.80327868852459,4.4928,4.4928,4.0086,no_adjustment,1.1208,salchicha
plansuarez,05CHAR,SALCHICHAS FIESTA 450 G VIENA LARGA,salchichas fiesta viena larga,SALCHICHA FIESTA VIENA LARGA 12U,salchicha fiesta viena larga 12u,91.80327868852459,6.7982,15.1071,6.0259,scaled 0.450kg→1kg,2.507,salchicha
plansuarez,05CHAR,MORTADELA ALIVAL POLLO 1KG,mortadela alival pollo,MORTADELA ALIBAL POLLO ESP 500GR,mortadela alibal pollo esp,87.5,4.2667,4.2667,1.85,scaled 1.000kg→1kg (emp=0.500kg),2.3063,mortadela
plansuarez,05CHAR,MORTADELA PUNTA DE MONTE POLLO 1 KG,mortadela punta de monte pollo,MORTADELA PUNTA DEL MONTE 500GR,mortadela punta del monte,87.27272727272728,6.0,6.0,2.39,scaled 1.000kg→1kg (emp=0.500kg),2.5105,mortadela
plansuarez,05CHAR,MORTADELA CARACAS X KG ESPECIAL,mortadela caracas x kg especial,MORTADELA ARICHUNA ESPECIAL KG,mortadela arichuna especial kg,85.24590163934427,5.0667,5.0667,4.99,no_adjustment,1.0154,mortadela
plansuarez,08FRUV,AJO PELADO EL ANDINITO 150 G NATURAL,ajo pelado el andinito natural,AJO EL ANDINITO PELADO 150GR,ajo el andinito pelado,84.61538461538461,2.4286,2.4286,2.85,no_adjustment,0.8521,ajo
plansuarez,05CHAR,MORTADELA PLUMROSE 1 KG POLLO ESPECIAL,mortadela plumrose pollo especial,MORTADELA PLUMPROSE ESPECIAL KG,mortadela plumprose especial kg,84.375,5.2992,5.2992,3.59,no_adjustment,1.4761,mortadela
plansuarez,05CHAR,SALCHICHAS WIENERS PLUMROSE 460 G,salchichas wieners plumrose,SALCHICHA PLUMROSE T/ WIENERS CORTA,salchicha plumrose t/ wieners corta,83.87096774193549,10.054,21.8565,5.6466,scaled 0.460kg→1kg,3.8707,salchicha
plansuarez,05CHAR,QUESO MONTESANO MOZZARELLA X KG,queso montesano mozzarella x kg,QUESO MOZZARELLA EL MORENO KG,queso mozzarella el moreno kg,83.33333333333334,17.0667,17.0667,9.99,no_adjustment,1.7084,mozzarella
plansuarez,05CHAR,MORTADELA CARACAS 1KG ESPECIAL,mortadela caracas especial,MORTADELA ARICHUNA ESPECIAL KG,mortadela arichuna especial kg,82.14285714285714,4.7867,4.7867,4.99,no_adjustment,0.9593,mortadela
plansuarez,05CHAR,SALCHICHAS HERMO 6UND WIENERS LARGA,salchichas hermo wieners larga,SALCHICHA MOVILLA WIENERS 250GR,salchicha movilla wieners,80.0,5.5834,5.5834,3.4914,no_adjustment,1.5992,salchicha
plansuarez,05CHAR,QUESO PALMIRA MOZZARELLA X KG,queso palmira mozzarella x kg,QUESO MOZZARELA PAISA,queso mozzarela paisa,80.0,11.7333,11.7333,23.45,no_adjustment,0.5004,mozzarella
plansuarez,05CHAR,SALCHICHAS HERMO 8UND WIENERS CORTA,salchichas hermo wieners corta,SALCHICHA PLUMROSE T/ WIENERS CORTA,salchicha plumrose t/ wieners corta,80.0,5.5834,5.5834,5.6466,no_adjustment,0.9888,salchicha
plansuarez,05CHAR,QUESO PAISA 200GR EN CREMA,queso paisa en crema,QUESO CREMA PAISA NAT 200GRS,queso crema paisa nat 200grs,79.16666666666666,7.7024,38.512,6.0776,scaled 0.200kg→1kg,6.3367,queso paisa
plansuarez,05CHAR,MORTADELA DEL CORRAL 1KG POLLO,mortadela del corral pollo,MORTADELA DEL CORRAL POLLO C/PIMENTON KG,mortadela del corral pollo c/pimenton kg,78.78787878787878,5.3333,5.3333,5.7499,no_adjustment,0.9275,mortadela
plansuarez,05CHAR,QUESO LA GUANOTA MOZZARELLA X KG,queso la guanota mozzarella x kg,QUESO APUREÑO MOZZARELLA KG,queso apureno mozzarella kg,77.96610169491525,11.3333,11.3333,10.4499,no_adjustment,1.0845,mozzarella
plansuarez,05CHAR,TOCINETA MOVILLA 250 G AHUMADA REBANADA,tocineta movilla ahumada rebanada,TOCINETA GIACOMELLO AHU REBANADA 250GR,tocineta giacomello ahu rebanada,76.92307692307692,6.7396,6.7396,6.2818,no_adjustment,1.0729,tocineta
plansuarez,03CARN,POLLO ENTERO XUND,pollo entero xund,POLLO ENTERO KG,pollo entero kg,75.0,8.9,8.9,7.89,no_adjustment,1.128,pollo entero
plansuarez,05CHAR,JAMON CON TOCINETA FIESTA 150GR UNTABLE,jamon con tocineta fiesta untable,UNTABLE FIESTA JAMON C/TOCINETA 150GR,untable fiesta jamon c/tocineta,75.0,1.8238,1.8238,1.4569,no_adjustment,1.2518,tocineta
plansuarez,08FRUV,PLATANO X KG,platano x kg,PLATANO,platano,73.6842105263158,3.2667,3.2667,2.59,no_adjustment,1.2613,platano
plansuarez,03CARN,BISTECK DE RES X KG,bisteck de res x kg,BISTEC DE SOLOMO KG,bistec de solomo kg,73.6842105263158,13.14,13.14,13.99,no_adjustment,0.9392,bistec
plansuarez,05CHAR,BANDEJA QUESO BUFALA SANTA MARIA FRESCO !300! G,bandeja queso bufala santa maria fresco !300! g,QUESO DE BUFALA SANTA MARIA KG,queso de bufala santa maria kg,72.72727272727273,4.084,13.6133,14.45,scaled 0.300kg→1kg,0.9421,queso
plansuarez,05CHAR,SALCHICHAS HERMO 225GR KIDS,salchichas hermo kids,SALCHICHA HERMO KIDS T/WIENER 225GR KIDS,salchicha hermo kids t/wiener kids,72.72727272727273,4.4544,4.4544,3.2672,no_adjustment,1.3634,salchicha
plansuarez,05CHAR,SALCHICHAS HERMO KIDS 400GR,salchichas hermo kids,SALCHICHA HERMO KIDS T/WIENER 225GR KIDS,salchicha hermo kids t/wiener kids,72.72727272727273,6.6816,16.704,3.2672,scaled 0.400kg→1kg (emp=0.225kg),5.1126,salchicha
plansuarez,05CHAR,BANDEJA QUESO NAPOLITANA MOZZARELLA !300! G,bandeja queso napolitana mozzarella !300! g,QUESO MOZZARELA NAPOLITANO,queso mozzarela napolitano,72.46376811594203,5.667,18.89,19.5498,scaled 0.300kg→1kg,0.9662,mozzarella
plansuarez,05CHAR,QUESO BUFALINDA 300 G MOZZARELLA JUNIOR,queso bufalinda mozzarella junior,QUESO BURRATA BUFALINDA 400GR,queso burrata bufalinda,71.42857142857143,6.3867,21.289,7.19,scaled 0.300kg→1kg (emp=0.400kg),2.9609,mozzarella
plansuarez,05CHAR,BANDEJA JAMON MILLENNIUM PIERNA !300! G,bandeja jamon millennium pierna !300! g,JAMON PIERNA MILLENNIUM KG,jamon pierna millennium kg,70.76923076923076,3.197,10.6567,10.3795,scaled 0.300kg→1kg,1.0267,jamon
plansuarez,08FRUV,CAMBUR X KG,cambur x kg,CAMBUR,cambur,70.58823529411764,1.2,1.2,1.05,no_adjustment,1.1429,cambur
plansuarez,05CHAR,BANDEJA TOCINETA AHUMADA !200! G,bandeja tocineta ahumada !200! g,TOCINETA AHUMADA KG,tocineta ahumada kg,70.58823529411764,5.3724,26.862,13.9902,scaled 0.200kg→1kg,1.9201,tocineta
plansuarez,08FRUV,BEBIDA TANG 20GR NARANJA,bebida tang naranja,NARANJA TANGELO KG,naranja tangelo kg,70.27027027027026,0.7925,39.625,8.91,scaled 0.020kg→1kg,4.4473,naranja
plansuarez,05CHAR,QUESO BLANCO MONTESANO PASTEURIZADO X KG,queso blanco montesano pasteurizado x kg,QUESO MONTESANO NAVIDAD KG,queso montesano navidad kg,69.6969696969697,15.2667,15.2667,17.233,no_adjustment,0.8859,queso blanco
