competidor,categoria,nombre_comp,nombre_comp_norm,nombre_emporium,nombre_emporium_norm,match_score,precio_comp_raw_usd,precio_comp_norm_usd,precio_emporium_usd,price_adjustment,ratio,search_term
gama,08FRUV,LECHUGA AMERICANA 500 GR,lechuga americana,LECHUGA AMERICANA UND,lechuga americana und,89.47368421052632,1.5,3.0,0.89,scaled 0.500kg→1kg,3.3708,lechuga
gama,08FRUV,LECHUGA ROMANA 500 GR,lechuga romana,LECHUGA ROMANA UND,lechuga romana und,87.5,1.5,3.0,0.89,scaled 0.500kg→1kg,3.3707,lechuga
gama,05CHAR,DIP QUESO CREMA Y TOCINETA GAMA 1 UN,dip queso crema y tocineta gama,QUESO CREMA DIP TOCINETA,queso crema dip tocineta,87.27272727272728,5.45,5.45,6.1638,no_adjustment,0.8842,tocineta
gama,05CHAR,MORTADELA ESPECIAL PUNTA DE MONTE 1 KG,mortadela especial punta de monte,MORTADELA PUNTA DEL MONTE 500GR,mortadela punta del monte,86.20689655172413,6.29,6.29,2.39,scaled 1.000kg→1kg (emp=0.500kg),2.6318,mortadela
gama,03CARN,"PATAS DE RES 1,200 KG",patas de res,PATA DE RES KG,pata de res kg,84.61538461538461,3.6,3.0,2.99,scaled 1.200kg→1kg,1.0033,milanesa res
gama,05CHAR,MORTADELA ESPECIAL POLLO PLUMROSE 1 KG,mortadela especial pollo plumrose,MORTADELA PLUMPROSE ESPECIAL KG,mortadela plumprose especial kg,84.375,5.3,5.3,3.59,no_adjustment,1.4763,mortadela
gama,08FRUV,"AGUACATE 1,600 KG",aguacate,AGUACATE KG,aguacate kg,84.21052631578947,8.78,5.4875,1.99,scaled 1.600kg→1kg,2.7575,aguacate
gama,05CHAR,QUESO MADURADO RALLADO MONTESANO 130 GR,queso madurado rallado montesano,QUESO MONTESANO RALLADO 50GR,queso montesano rallado,83.63636363636364,6.57,50.5385,2.2328,scaled 0.130kg→1kg (emp=0.050kg),22.6343,queso rallado
gama,05CHAR,QUESO DE BÚFALA FRESQUITO SANTA MARÍA 300 GR,queso de bufala fresquito santa maria,QUESO DE BUFALA SANTA MARIA KG,queso de bufala santa maria kg,83.5820895522388,4.44,14.8,14.45,scaled 0.300kg→1kg,1.0242,queso santa barbara
gama,05CHAR,QUESO DE AÑO SANTA BARBARA 400 GR,queso de ano santa barbara,QUESO SANTA BARBARA KG,queso santa barbara kg,83.33333333333334,7.44,18.6,11.35,scaled 0.400kg→1kg,1.6388,queso santa barbara
gama,08FRUV,CEBOLLA 700 GR,cebolla,CEBOLLA KG,cebolla kg,82.35294117647058,1.02,1.4571,0.99,scaled 0.700kg→1kg,1.4719,cebolla
gama,05CHAR,QUESO BLANCO ESPECIAL PAISA 300 GR,queso blanco especial paisa,QUESO PAST. EL PAISA BLANCO ESPECIAL KG,queso past. el paisa blanco especial kg,81.81818181818181,6.36,21.2,20.35,scaled 0.300kg→1kg,1.0418,queso paisa
gama,05CHAR,PECHUGA DE PAVO MOVILLA 300 GR,pechuga de pavo movilla,PECHUGA PAVO MOVILLA AHUMADA KG,pechuga pavo movilla ahumada kg,81.4814814814815,4.62,15.4,17.8793,scaled 0.300kg→1kg,0.8613,pechuga pavo
gama,08FRUV,TOMATE MANZANO HIDROPONIAS 4 UN,tomate manzano hidroponias,TOMATES MANZANO CHERRY HIDROPONICO,tomates manzano cherry hidroponico,80.0,4.13,4.13,4.99,no_adjustment,0.8277,tomate
gama,05CHAR,SALCHICHAS VIENA FIESTA 450 GR,salchichas viena fiesta,SALCHICHA FIESTA VIENA LARGA 12U,salchicha fiesta viena larga 12u,80.0,8.09,17.9778,6.0259,scaled 0.450kg→1kg,2.9834,salchicha
