metric,model_a,model_b,delta
WMAPE,23.67340948165392,23.569077138225186,-0.10433234342873376
SMAPE,45.006685742952115,44.90898734356812,-0.09769839938399372
MAE,3.161490513628012,3.1475573404503105,-0.013933173177701264
RMSE,9.399609024275275,9.338983945775057,-0.06062507850021781
R2,0.9374401706439952,0.9382445580605495,0.0008043874165543086
MASE,0.5706312797285846,0.5679601142700879,-0.0026711654584967714
MdAE,0.8925950678651478,0.8886908847104904,-0.003904183154657348
MBE,-0.712350816130699,-0.6706216034369573,0.041729212693741635
