q,MAE,n,WMAPE
Bajo,0.5861720865157121,90103,99.26186671828212
Medio-Bajo,0.8497496527864907,49119,47.506171271531954
Medio-Alto,1.9038533494073602,69541,37.776826369963885
Alto,9.513186965825728,69587,20.52238376617172
