timestamp,cpu_pct,ram_used_mb,ram_total_mb,gpu_util_pct,gpu_mem_used_mb
2026-02-20T15:24:56.650776,0.0,18619.48046875,31864.85546875,nan,nan
2026-02-20T15:25:02.821906,25.3,21610.3984375,31864.85546875,nan,nan
2026-02-20T15:25:07.835932,97.2,21935.2421875,31864.85546875,nan,nan
2026-02-20T15:25:12.850798,100.0,21864.78515625,31864.85546875,nan,nan
2026-02-20T15:25:17.864374,100.0,21912.4609375,31864.85546875,nan,nan
2026-02-20T15:25:22.880861,100.0,22129.83984375,31864.85546875,nan,nan
2026-02-20T15:25:27.898021,100.0,22196.1328125,31864.85546875,nan,nan
2026-02-20T15:25:32.911776,100.0,22188.6796875,31864.85546875,nan,nan
2026-02-20T15:25:37.925548,100.0,22152.19921875,31864.85546875,nan,nan
2026-02-20T15:25:42.936605,100.0,22078.22265625,31864.85546875,nan,nan
2026-02-20T15:25:47.950019,100.0,22105.9609375,31864.85546875,nan,nan
2026-02-20T15:25:52.965315,100.0,22096.296875,31864.85546875,nan,nan
2026-02-20T15:25:57.991348,100.0,22100.55859375,31864.85546875,nan,nan
2026-02-20T15:26:03.003888,99.9,22135.76953125,31864.85546875,nan,nan
2026-02-20T15:26:08.018857,100.0,22142.86328125,31864.85546875,nan,nan
2026-02-20T15:26:13.032191,100.0,22167.19140625,31864.85546875,nan,nan
2026-02-20T15:26:18.046231,99.9,22199.890625,31864.85546875,nan,nan
2026-02-20T15:26:23.060304,100.0,22207.03515625,31864.85546875,nan,nan
2026-02-20T15:26:28.074573,100.0,22225.62890625,31864.85546875,nan,nan
2026-02-20T15:26:33.093784,100.0,22257.890625,31864.85546875,nan,nan
2026-02-20T15:26:38.206570,88.0,21757.84765625,31864.85546875,nan,nan
2026-02-20T15:26:43.217805,97.8,21562.796875,31864.85546875,nan,nan
2026-02-20T15:26:48.231315,100.0,21591.3828125,31864.85546875,nan,nan
2026-02-20T15:26:53.247543,100.0,21565.72265625,31864.85546875,nan,nan
2026-02-20T15:26:58.262923,99.9,21549.33203125,31864.85546875,nan,nan
2026-02-20T15:27:03.278676,100.0,21571.9765625,31864.85546875,nan,nan
2026-02-20T15:27:08.292064,100.0,21557.8828125,31864.85546875,nan,nan
2026-02-20T15:27:13.305189,100.0,21567.0390625,31864.85546875,nan,nan
2026-02-20T15:27:18.316425,98.3,21489.2578125,31864.85546875,nan,nan
2026-02-20T15:27:23.331695,100.0,21477.40625,31864.85546875,nan,nan
2026-02-20T15:27:28.344468,100.0,21471.16015625,31864.85546875,nan,nan
2026-02-20T15:27:33.357352,100.0,21521.92578125,31864.85546875,nan,nan
2026-02-20T15:27:38.369727,100.0,21473.3515625,31864.85546875,nan,nan
2026-02-20T15:27:43.382792,100.0,21477.2421875,31864.85546875,nan,nan
2026-02-20T15:27:48.397242,100.0,21502.19140625,31864.85546875,nan,nan
2026-02-20T15:27:53.411653,99.9,21504.375,31864.85546875,nan,nan
2026-02-20T15:27:58.424253,100.0,21496.74609375,31864.85546875,nan,nan
2026-02-20T15:28:03.437637,100.0,21514.0859375,31864.85546875,nan,nan
2026-02-20T15:28:08.452050,99.8,21478.47265625,31864.85546875,nan,nan
