bin,MAE,n,WMAPE,feature
"(0.0283, 0.959]",0.265706266953083,55674,50.730542111677345,unidades_mean_7d
"(0.959, 2.0]",0.735820805842916,57515,45.76045111935434,unidades_mean_7d
"(2.0, 4.266]",1.3606322031494578,53821,45.33323621238659,unidades_mean_7d
"(4.266, 13.143]",2.818982315912704,55734,36.401330676476256,unidades_mean_7d
"(13.143, 587.889]",11.13954275242783,55606,20.63060142720042,unidades_mean_7d
