sucursal_id,n,WMAPE,MAE
SUC004,67862,26.40934652344793,2.9175949106727126
SUC002,73232,24.14702725902693,3.4254650918085043
SUC003,63572,23.03235229581168,3.4867569782041508
SUC001,73684,22.6055627357484,2.964512067204485
