bin,MAE,n,WMAPE,feature
"(0.004, 0.785]",0.3686750449660619,55824,53.975278665624316,unidades_lag_1
"(0.785, 1.845]",0.8852056596835393,55609,47.550734557796154,unidades_lag_1
"(1.845, 4.0]",1.4142852251440847,57266,45.42799625213081,unidades_lag_1
"(4.0, 12.955]",2.7370612153850784,53982,35.466797399899136,unidades_lag_1
"(12.955, 939.235]",10.92769784575155,55669,20.40891603843924,unidades_lag_1
