bin,MAE,n,WMAPE,feature
"(-0.001, 1.0]",3.224018929453733,76281,25.386317663111885,dia_semana
"(1.0, 2.0]",3.263745206817,39029,26.765135299369113,dia_semana
"(2.0, 4.0]",2.8574870245420043,79603,24.484272321720013,dia_semana
"(4.0, 5.0]",3.719598050317243,42704,22.584668496902836,dia_semana
"(5.0, 6.0]",3.615360284211899,40733,23.001486514862172,dia_semana
