clase,delta_mean,delta_median,delta_std,pct_increase,pct_decrease,pct_unchanged
03CARN     ,29.13,30.03,6.81,99.66,0.32,0.02
05CHAR     ,29.52,30.0,13.4,98.96,0.96,0.07
08FRUV     ,32.53,30.06,29.46,99.93,0.05,0.02
