producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0509040016,05CHAR     ,63.61,30.36,9,47.73
0805010187,08FRUV     ,68.53,30.08,27,43.89
0802040045,08FRUV     ,49.03,29.8,12,60.78
0803010021,08FRUV     ,53.67,29.66,44,55.26
0805010192,08FRUV     ,63.03,25.06,12,39.76
0509100008,05CHAR     ,60.35,24.3,5,40.27
0503020022,05CHAR     ,115.3,23.33,4,20.23
0509150027,05CHAR     ,41.55,20.85,6,50.18
0505020004,05CHAR     ,49.01,20.8,7,42.44
0805010001,08FRUV     ,746.37,19.57,97,2.62
0308050012,03CARN     ,32.16,19.45,2,60.48
0805010105,08FRUV     ,45.23,19.14,8,42.32
0509090007,05CHAR     ,37.28,18.47,4,49.54
0803010061,08FRUV     ,22.91,15.95,1,69.62
0306010015,03CARN     ,39.07,15.11,10,38.67
0509070008,05CHAR     ,35.52,15.09,3,42.48
0310010004,03CARN     ,32.62,14.9,2,45.68
0509150028,05CHAR     ,33.52,14.89,5,44.42
0502080108,05CHAR     ,35.63,14.73,5,41.34
0502080106,05CHAR     ,36.98,14.15,3,38.26
0805020009,08FRUV     ,23.81,13.95,3,58.59
0802020006,08FRUV     ,37.02,13.5,15,36.47
0502050006,05CHAR     ,6812.26,13.11,446,0.19
0503030061,05CHAR     ,19.01,13.0,1,68.39
0310010005,03CARN     ,13.96,12.15,3,87.03
0308020002,03CARN     ,23.66,12.08,5,51.06
0509120008,05CHAR     ,22.19,11.26,2,50.74
0802010034,08FRUV     ,13.23,11.17,1,84.43
0803010030,08FRUV     ,10.99,10.99,7,100.0
0502040041,05CHAR     ,21.71,10.34,3,47.63
0805010108,08FRUV     ,27.84,10.03,7,36.03
0805020029,08FRUV     ,10.56,8.89,1,84.19
0805020024,08FRUV     ,16.99,8.84,2,52.03
0310020012,03CARN     ,8.77,7.64,1,87.12
0805010255,08FRUV     ,8.18,7.46,1,91.2
0803010058,08FRUV     ,8.06,7.25,3,89.95
0308050001,03CARN     ,12.32,7.24,1,58.77
0805020036,08FRUV     ,10.23,7.17,1,70.09
0802040034,08FRUV     ,9.29,6.98,1,75.13
0502030010,03CARN     ,15.71,6.81,3,43.35
0802010038,08FRUV     ,7.31,6.35,1,86.87
0507010009,05CHAR     ,18.88,6.11,2,32.36
