clase,margin_base,margin_opt,margin_pct_base,margin_pct_opt,delta_margin,delta_margin_pct
03CARN     ,3133576.93,4007987.13,41.31,48.8,874410.2,27.9
05CHAR     ,1338845.37,1887866.16,32.54,41.56,549020.79,41.01
08FRUV     ,1253051.65,1981664.57,34.79,45.97,728612.92,58.15
