clase,revenue_base,revenue_opt,n,delta_revenue,delta_revenue_pct
03CARN     ,7065639.7,7815773.34,46478,750133.64,10.62
05CHAR     ,4131733.44,4610125.34,96977,478391.9,11.58
08FRUV     ,4165042.28,4852958.61,134895,687916.33,16.52
