clase,revenue_base,revenue_opt,n,delta_revenue,delta_revenue_pct
03CARN     ,7065639.7,8585230.16,46478,1519590.46,21.51
05CHAR     ,4131733.44,5071162.19,96977,939428.75,22.74
08FRUV     ,4165042.28,5354524.07,134895,1189481.79,28.56
