producto_id,clase,revenue_opt,margin_opt,n_days,margin_contribution_pct
0509130029,05CHAR     ,7174.87,2893.53,142,40.33
0504030048,05CHAR     ,6760.41,2866.36,241,42.4
0503040003,05CHAR     ,5492.1,2864.92,462,52.16
0801010024,08FRUV     ,4161.05,2849.81,343,68.49
0801010011,08FRUV     ,4194.36,2846.55,670,67.87
0507020019,05CHAR     ,5844.75,2837.92,377,48.56
0502040049,05CHAR     ,5743.69,2792.25,574,48.61
0504040035,05CHAR     ,6593.66,2781.29,177,42.18
0502040013,05CHAR     ,5916.17,2748.3,228,46.45
0801010005,08FRUV     ,4088.38,2732.83,664,66.84
0502080085,05CHAR     ,5906.59,2674.83,400,45.29
0507020013,05CHAR     ,4827.92,2658.57,252,55.07
0805010280,08FRUV     ,5302.31,2623.86,582,49.49
0503020002,05CHAR     ,5019.25,2614.86,552,52.1
0805010120,08FRUV     ,5266.23,2595.09,613,49.28
0509160026,05CHAR     ,5202.86,2568.38,482,49.36
0503040001,05CHAR     ,4438.12,2559.79,333,57.68
0802010003,08FRUV     ,4626.13,2538.98,639,54.88
0805010010,08FRUV     ,5665.74,2538.94,463,44.81
0504040018,05CHAR     ,4018.61,2476.89,365,61.64
0802040013,08FRUV     ,3117.19,2475.6,414,79.42
0501030002,05CHAR     ,4843.13,2468.15,446,50.96
0802040012,08FRUV     ,3551.24,2461.29,487,69.31
0805020041,08FRUV     ,4124.51,2459.9,316,59.64
0805010017,08FRUV     ,4707.17,2455.58,326,52.17
0502080098,05CHAR     ,4963.76,2454.52,414,49.45
0805010291,08FRUV     ,5130.08,2432.91,491,47.42
0805010079,08FRUV     ,4665.83,2428.23,451,52.04
0507010002,05CHAR     ,5578.58,2427.3,293,43.51
0306010006,03CARN     ,4737.35,2399.63,445,50.65
0504020025,05CHAR     ,4062.23,2345.01,523,57.73
0806010012,08FRUV     ,4823.05,2344.05,579,48.6
0503030001,05CHAR     ,4560.37,2328.43,158,51.06
0805020040,08FRUV     ,4093.38,2313.46,312,56.52
0802040030,08FRUV     ,3366.54,2295.32,371,68.18
0502040056,05CHAR     ,5256.71,2281.93,248,43.41
0504040031,05CHAR     ,4187.23,2281.69,419,54.49
0803010029,08FRUV     ,4229.86,2263.1,705,53.5
0306010009,03CARN     ,4538.33,2260.88,425,49.82
0306010007,03CARN     ,4314.44,2184.72,433,50.64
0504030041,05CHAR     ,4182.17,2183.54,343,52.21
0805010015,08FRUV     ,4734.28,2171.45,396,45.87
0507020017,05CHAR     ,3939.71,2148.36,244,54.53
0506020001,05CHAR     ,19903.34,2137.07,515,10.74
0509040017,05CHAR     ,4499.51,2120.68,310,47.13
0502080082,05CHAR     ,4082.23,2108.7,460,51.66
0802040016,08FRUV     ,3597.86,2105.19,348,58.51
0502010010,05CHAR     ,3949.89,2103.17,553,53.25
0308050018,03CARN     ,3213.3,2091.92,59,65.1
