q,MAE,n,WMAPE
Bajo,0.631465787909361,90103,106.93186236348338
Medio-Bajo,0.8727365831874326,49119,48.79128041991817
Medio-Alto,1.8981921539560929,69541,37.664495240218244
Alto,9.299515626086386,69587,20.061439894289954
