q,MAE,n,WMAPE
Bajo,0.6273498804054972,90103,106.23487819881292
Medio-Bajo,0.866893304523813,49119,48.46460562096894
Medio-Alto,1.8965379985407207,69541,37.63167299477853
Alto,9.293974217830145,69587,20.049485655689566
