sucursal_id,revenue_base,revenue_opt,margin_base,margin_opt,avg_delta_price,median_delta_price,avg_elasticity,n_rows,n_products,delta_revenue_pct,delta_margin_pct
SUC001,3887634.04,4392658.99,1424878.46,1992069.78,16.94,14.98,-0.21,73684,698,12.99,39.81
SUC002,4209129.16,4752307.94,1563349.27,2170214.85,16.58,14.98,-0.24,73232,720,12.9,38.82
SUC003,4008566.1,4499166.8,1496551.05,2049789.1,16.64,14.98,-0.24,63572,689,12.24,36.97
SUC004,3257086.12,3634723.56,1240695.17,1665444.13,14.5,14.98,-0.23,67862,703,11.59,34.23
