clase,revenue_base,revenue_opt,margin_base,margin_opt,demand_base,demand_opt,avg_delta_price,avg_elasticity,n_rows,delta_revenue_pct,delta_margin_pct,fulfillment
03CARN     ,7065639.7,7815773.34,3133576.93,4007987.13,1011019.7335,979175.8389,14.3788,-0.3133,46478,10.6166,27.9045,0.9685
05CHAR     ,4131733.44,4610125.34,1338845.37,1887866.16,513194.2643,500052.8318,14.6795,-0.3064,96977,11.5785,41.007,0.9744
08FRUV     ,4165042.28,4852958.61,1253051.65,1981664.57,1990366.7692,1965260.3928,17.8823,-0.1513,134895,16.5164,58.1471,0.9874
